,station,latitude,longitude,elevation,depth
9963,LKCP,47.944379629,-121.830852755,178.2649999,64.7960133091648
9969,LKN1,40.859933196,-115.742270633,1582.1100153,100.0
9973,LKVW,42.172096338,-120.346681605,1433.0156287,100.0
10004,LMID,46.369382382,-120.284671775,211.7207522,100.0
10011,LMRR,39.538543859,-119.813115687,1373.699751,100.0
10024,LNG2,49.05805036,-122.703289922,36.0621382,66.01145155887247
10027,LNGB,47.21878571,-122.758315504,2.4359448,42.53486205868782
10032,LNGV,41.78518173,-119.752362653,1735.9888135,100.0
10038,LNRD,41.47663324,-118.710092369,1275.6479188,100.0
10074,LONC,40.660741871,-120.615201538,2052.1530817,100.0
10091,LOST,41.073913304,-119.773828388,1642.1761105,100.0
10159,LPSB,44.051228557,-123.090085508,117.7010683,45.63193477465845
10206,LSIG,47.695201067,-121.689564813,527.1995496,71.38811586896648
10212,LSON,45.359532538,-121.647227934,1999.4342887,74.38678374220582
10224,LTAH,47.282428327,-117.163884858,735.6149377,100.0
10265,LUNC,39.629131216,-120.500750602,2143.8492353,100.0
10276,LUXO,40.514513771,-119.232261326,1538.6502809,100.0
10281,LVIL,41.070435898,-119.377573624,1593.2957606,100.0
10290,LWCK,46.278132944,-124.053846231,39.0512337,24.278889878986536
10294,LWST,46.373178411,-117.002307098,427.2210043,100.0
10297,LYAL,39.668992344,-120.185016728,1658.4556282,100.0
10353,MADE,41.035151012,-120.435622463,1702.0268045,100.0
10391,MAJU,40.707021074,-118.436630256,1426.1577641,100.0
10486,MASC,41.605081319,-119.547984272,1749.163453,100.0
10490,MASO,39.074190511,-119.163214685,1354.597883,100.0
10528,MAX1,39.273877364,-122.190531961,3.917101,100.0
10586,MCKI,40.208513619,-117.783771481,1590.700788,100.0
10603,MCOY,40.117907781,-117.590023728,1184.0645684,100.0
10607,MCSO,44.973810697,-122.955749152,52.7953414,46.00693662704046
10640,MDMT,42.418341659,-121.221599383,1710.5802488,92.78314766636495
10652,MDRS,44.664029861,-121.130418998,735.9183767,91.11953206877453
10676,MECR,44.085250254,-121.825167155,1812.6422839,73.78586018341652
10801,MGRB,48.999694529,-124.697079759,1289.2583736,36.05375686806036
10816,MHMB,39.148348802,-121.592310472,-5.3085517,97.59812158825994
10819,MHTL,45.328669217,-121.711161852,1750.3161953,72.72421501900975
10913,MILL,40.651759938,-118.063933764,1315.6656986,100.0
10941,MINE,40.148366001,-116.095512,2075.6419642,100.0
10973,MIS1,49.159235022,-122.287611992,132.5494062,82.30422356195886
11005,MKAH,48.370674327,-124.589224023,23.650591,27.606286500993217
11038,MLKE,47.130925935,-119.274072555,314.3606091,100.0
11102,MNDS,39.624727845,-120.400636685,1493.2847608,100.0
11282,MODB,41.902325325,-120.302830882,1567.2204701,100.0
11308,MOGL,39.525168896,-119.926265269,1517.5681272,100.0
11313,MOHA,39.684467694,-120.604186958,2192.5757349,100.0
11324,MOIL,40.710682819,-115.412113379,2160.4466786,100.0
11374,MON3,46.982854694,-123.603556779,8.0299579,31.08681658030689
11388,MONI,39.147709292,-116.715570706,2109.2516726,100.0
11432,MORG,40.447447545,-120.065411404,1520.7188374,100.0
11481,MOUN,40.303374432,-117.069515083,1503.0642469,100.0
11510,MPRG,49.21081636,-122.660693677,-6.0413105,72.59263196766753
11546,MRIB,49.467016475,-123.914076608,-7.758605,57.82201958301681
11571,MRSD,46.785345173,-121.742039322,1629.7355941,72.21144111913392
11589,MRYV,39.14831137,-121.59225905,-4.3924709,97.59979695480278
11653,MSLK,47.130625222,-119.273810437,310.5459345,100.0
11732,MTCL,44.565207123,-120.146567461,877.8352059,100.0
11844,MUIR,46.83563318,-121.733159776,3067.7375541,72.61693606671743
11853,MULL,39.87823014,-119.647682988,1430.9875248,100.0
11906,MYRA,49.550975817,-125.570725288,605.7772988,37.27498203162
11922,MZNT,45.701528094,-123.930860863,-12.4822876,26.806243973713897
11936,NACH,39.996574553,-119.219239564,1692.8409868,100.0
11947,NAJF,44.716681524,-123.268258845,96.27418,40.62899140611274
11957,NANA,49.163829874,-123.938138382,15.8555216,48.01797408950361
11959,NANI,49.107224436,-123.896752213,54.6131873,46.60647753825243
11960,NANO,49.294810454,-124.08647916,6.5811745,50.83856679220283
11969,NARR,39.254612932,-119.283200951,1287.8292274,100.0
12102,NCOW,48.823915379,-123.719880554,31.1378266,41.41374575391704
12118,NCS2,50.403052359,-126.05587785,1285.6772686,43.6513714248514
12204,NEAH,48.297854889,-124.624906942,459.8591675,26.357090395281446
12313,NEWP,44.585024726,-124.061886586,20.4443063,24.423707412843353
12315,NEWS,39.68561676,-117.508935606,1770.4207618,100.0
12320,NFLN,39.421596506,-118.710784786,1194.1499492,100.0
12331,NGWN,42.306257801,-119.404695532,1669.0577838,100.0
12374,NINT,47.495097742,-121.797084561,127.3213684,66.35444178653673
12512,NORM,43.738875487,-121.252721096,2161.3829642,89.36822505477923
12516,NOSE,43.91190256,-123.738723357,848.998161,29.97305947198461
12539,NPAS,39.582141986,-117.535808449,1723.5970101,100.0
12597,NTKA,49.59236314,-126.616611314,-1.5568254,24.372640203933738
12617,NVAN,49.322253579,-123.10691009,-2.7921358,64.39757440518835
12624,NVCC,39.180820182,-119.765298946,1419.1368243,100.0
12626,NVCR,49.304169631,-123.008733486,-5.0801804,66.07075466537191
12629,NVFN,39.474616848,-118.798106499,1193.8615587,100.0
12642,NVMM,39.449395645,-119.780328377,1354.1977235,100.0
12653,NVRO,39.520829222,-119.73220936,1320.4141581,100.0
12657,NVSP,39.528586995,-119.701895681,1326.2835191,100.0
12664,NWBG,45.300051836,-122.975530795,42.5859916,44.38415896645594
12668,NWE3,49.200245902,-122.941676764,1.7377855,64.2100340984581
12673,NWPT,48.17769475,-117.048090393,655.0602318,100.0
12767,OAKR,43.738338541,-122.444565899,375.9019785,60.28695199214867
12781,OBEC,44.065964964,-123.098149263,111.8619917,45.432769724407336
12788,OBSR,46.899797846,-121.815365584,2363.138577,70.0073392658117
12789,OBSV,40.735365545,-120.157483254,1668.0276799,100.0
12792,OCEN,46.952371203,-124.159714368,-17.3667229,23.885678766808283
12803,ODOT,44.896661219,-123.000807517,51.2200753,45.37286406664696
12805,ODSA,47.328974766,-118.712589469,468.2659167,100.0
12953,OKNG,48.373410509,-119.551513018,270.9742984,100.0
12985,OLAR,46.96119522,-122.908465585,41.0764862,40.94967379156091
12992,OLI1,49.179547327,-119.545392207,288.8768659,100.0
13000,OLMP,47.044846922,-122.895218709,2.6209248,40.86543255446492
13025,ONAB,44.514522183,-124.074516331,17.5281942,24.104416807554905
13073,ONLY,40.963823945,-120.268079745,1647.1280859,100.0
13104,ONT1,44.023180225,-116.937974711,646.0660438,100.0
13132,ORAL,45.718558264,-120.202543201,71.3276983,100.0
13134,ORBD,44.094975863,-121.301614763,1063.9279079,87.50941288189718
13135,ORBN,44.094337989,-121.301886478,1060.3233334,87.5040314029012
13140,ORCD,45.226953907,-120.180596509,840.6638626,100.0
13141,ORCP,42.380541308,-122.883206649,380.961662,49.13386709772889
13143,ORDN,45.234004229,-122.815905657,43.3525788,47.7828389247018
13144,ORDO,45.234129426,-122.81594663,45.6388121,47.781513176367966
13148,ORE4,44.063388398,-123.179263971,105.1942956,43.50205939991486
13152,OREU,44.045046873,-123.161907475,105.7874396,43.91781635910654
13153,ORFL,43.986414845,-124.111314977,-3.5928012,22.58037646059684
13154,ORG1,45.497847935,-122.416048995,95.326857,54.995097333062795
13156,ORGR,45.497642912,-122.415918347,97.6549049,54.998469019607356
13157,ORHA,44.289836046,-123.154435209,77.4030823,44.02321303706216
13158,ORHB,45.51911049,-123.025298189,43.0944043,42.79981702819247
13159,ORHI,45.519086878,-123.025309543,42.955021,42.799692026606586
13160,ORHM,45.805162507,-119.321136679,164.1664298,100.0
13161,ORHP,45.360743709,-119.565172066,605.7247257,100.0
13171,ORK5,42.288814581,-121.669332839,1258.4599345,82.11277725232566
13172,ORK6,42.288810908,-121.669655009,1258.429987,82.1048349827812
13173,ORKF,42.143381699,-121.808647824,1234.5805733,78.93360470148203
13176,ORM1,44.601564611,-121.140984096,715.9017213,90.92097551108353
13178,ORME,42.028529984,-121.613425218,1224.826939,83.9624066991649
13179,ORMF,42.379887057,-122.884476124,379.7348141,49.099051768817006
13180,ORMO,45.154492251,-122.602037763,80.79546,52.645757990337
13182,ORMV,45.187896355,-123.2090882,30.5402793,40.583929882064695
13185,ORNW,44.674847491,-124.061151703,18.6834139,24.52731192239934
13189,OROR,43.746379523,-122.485270477,327.3094629,59.41061783973737
13191,ORPE,45.670929169,-118.850194326,312.1214798,100.0
13192,ORPO,45.506986471,-122.672772044,25.9457695,49.564785525939165
13193,ORPT,45.57882919,-122.649979662,-2.9692791,49.8100467549705
13194,ORRB,43.298383711,-123.34922115,140.0489133,37.73346247768531
13195,ORRD,44.269804033,-121.17992824,903.2590875,90.32334224586722
13197,ORS1,44.164247371,-119.058754647,1437.6399744,100.0
13198,ORS2,44.164138589,-119.058446118,1438.549961,100.0
13199,ORSB,44.625272365,-124.048839369,-10.9651119,24.71043601868888
13200,ORSH,44.397658259,-122.727591027,150.1749536,53.58688547144717
13201,ORSL,44.972985943,-122.955329295,46.1247325,46.01921401850478
13202,ORSM,44.972912363,-122.955391065,46.5244133,46.01820385898917
13203,ORTA,44.558349667,-123.111084238,60.6577454,44.349271018401566
13205,ORTI,45.485585297,-123.846202289,-9.6040972,28.544710986969967
13206,ORTN,44.560367465,-123.116575109,57.6869162,44.22409853985695
13207,ORUG,44.1184964,-123.176274148,97.5087743,43.56229588760359
13209,ORVB,39.554627243,-121.500290845,339.9995198,95.29463896903641
13211,ORWA,45.586413105,-120.686590315,389.2878641,100.0
13251,OTHL,46.822553394,-119.167877655,313.8389686,100.0
13253,OTIS,48.417840463,-122.336571519,6.3689155,58.57646077898572
13254,OTLO,46.828439926,-119.17437414,311.4995088,100.0
13310,OYLR,47.47461072,-122.204755987,23.9613612,53.441614238908485
13314,P002,39.521138608,-117.186530957,1741.6801332,100.0
13317,P005,39.910171457,-115.278627463,2015.6901394,100.0
13325,P013,41.428741539,-117.329994055,1433.4064758,100.0
13329,P017,41.27589616,-119.935509989,2390.6448646,100.0
13330,P018,42.981706537,-117.064558014,1424.2510789,100.0
13331,P019,43.30019622,-115.311661665,1682.3686655,100.0
13332,P020,47.002208793,-118.565769564,480.1286938,100.0
13333,P021,48.674692682,-118.730252896,1163.1333276,100.0
13334,P022,45.231786138,-118.013772758,888.1137044,100.0
13335,P023,44.898433462,-116.103005338,1521.5884531,100.0
13336,P024,47.562202127,-115.842434321,1907.6226937,100.0
13337,P025,48.731014228,-116.287511774,695.4298634,100.0
13370,P058,40.876305662,-124.07536958,21.401843,17.183197282567665
13372,P060,40.99763233,-122.414884054,430.8108989,63.477253497210995
13373,P061,42.967377998,-124.014014869,162.755454,22.393162532547173
13374,P062,43.112387101,-121.090713663,1350.265463,94.4410192862359
13375,P063,44.922722311,-120.946152979,965.3988614,96.40800073102452
13376,P064,47.96984629,-123.487705126,1570.7160085,34.54850919179182
13377,P065,46.843959813,-120.933091879,1017.1146115,100.0
13380,P068,39.30564354,-117.984788375,1455.9091756,100.0
13381,P069,39.287940935,-117.604894772,1886.3715734,100.0
13383,P071,39.34654773,-117.401180767,2085.3258624,100.0
13384,P072,39.521455482,-116.740896148,2061.2068299,100.0
13385,P073,39.500524664,-116.424470162,1942.6233798,100.0
13386,P074,39.546427478,-116.04959706,1947.7076855,100.0
13387,P075,39.374243901,-115.888817465,1881.6406622,100.0
13388,P076,39.536062859,-115.512598428,2006.0539347,100.0
13389,P077,39.388561345,-115.431824431,2334.1877938,100.0
13390,P078,40.433417113,-117.879804666,1444.8093124,100.0
13395,P083,40.320581403,-117.467636506,1642.6641056,100.0
13397,P085,40.495461533,-116.736212283,1661.2011489,100.0
13399,P087,40.363205868,-116.279263953,2358.4165141,100.0
13402,P090,39.572803503,-119.799853075,1503.6494843,100.0
13407,P095,39.698430633,-119.536904662,1608.8042408,100.0
13408,P096,39.795565082,-119.305642436,1243.2840397,100.0
13409,P097,39.838806179,-118.873860402,1210.3778067,100.0
13410,P098,39.888882209,-118.684414065,1286.5694739,100.0
13411,P099,39.212320408,-118.159350612,2455.6629066,100.0
13414,P102,39.924921701,-115.556006875,2718.1142263,100.0
13439,P127,39.49921377,-119.599924323,1523.9404664,100.0
13440,P128,39.486098556,-119.068640234,1320.007153,100.0
13441,P129,39.133893324,-118.449602863,1714.1151736,100.0
13442,P130,39.26803531,-118.9377589,1380.0701952,100.0
13443,P131,39.454685704,-118.351268067,1825.0520682,100.0
13449,P137,40.779795438,-119.476766928,1331.7834857,100.0
13450,P138,40.242178394,-119.010164606,1243.696222,100.0
13451,P139,39.908199301,-119.722451312,1522.9942864,100.0
13453,P141,39.046632613,-120.385583481,2170.3862251,100.0
13454,P142,39.12353293,-119.810717142,1784.9174561,100.0
13456,P144,39.466703748,-120.892985638,1436.8629622,100.0
13457,P145,41.357688253,-119.624325928,1755.2011208,100.0
13458,P146,39.337463521,-120.537299438,2347.304317,100.0
13459,P147,39.9373864,-120.284413446,2488.9097039,100.0
13460,P148,40.418587933,-120.805961012,1584.555214,100.0
13461,P149,39.602129874,-120.104975005,2634.6759447,100.0
13462,P150,39.292380226,-120.033853632,2619.0620245,100.0
13463,P151,40.288901515,-120.077263591,1313.0418657,100.0
13464,P154,41.807082586,-123.360050167,319.8855551,35.53968643596666
13465,P155,41.272434819,-123.188786101,1784.0810278,35.51631381267359
13466,P156,40.024442034,-123.906116232,488.9937041,30.421516208994028
13467,P157,40.247545906,-124.308072818,695.8140098,21.925169066699162
13468,P158,40.422489785,-124.107207512,873.6958565,20.861969323768864
13469,P159,40.504786341,-124.282781929,608.2155777,18.084057658271487
13470,P160,40.551251587,-124.133270958,94.2221799,18.928418022819947
13471,P161,40.637362687,-124.213085708,32.4299431,17.611599255042584
13472,P162,40.691094163,-124.237036527,-6.4408164,17.0936236046959
13473,P163,40.219570985,-124.057289127,425.243122,25.498061410483725
13474,P164,40.119256013,-123.693339266,1148.3163987,28.816530008052325
13475,P165,40.24554847,-123.853264214,545.6438795,25.804204360291727
13476,P166,40.43518302,-123.862827951,665.2678286,22.425640212166744
13477,P167,40.54370411,-123.880177032,1021.1437426,20.66409680336193
13478,P168,40.668637315,-123.881459799,1093.4480273,19.401236988275155
13479,P169,40.791144494,-123.967652439,689.3881885,18.232181087030668
13480,P170,40.880232477,-123.863280815,918.1200552,18.36748347435897
13489,P179,42.098971786,-123.685571147,402.1844683,27.291723785264978
13494,P184,39.117164452,-123.708936989,108.9526141,100.0
13495,P185,39.261302875,-123.749335131,146.3524707,100.0
13496,P186,39.150178091,-123.518151691,372.8005114,100.0
13497,P187,39.352476788,-123.602540691,163.9914803,100.0
13500,P190,39.24195495,-123.204047296,202.8113879,100.0
13501,P191,42.275355724,-123.63226302,371.378717,28.88641043563311
13502,P192,39.319727554,-123.105188662,259.7198994,100.0
13515,P205,39.398123366,-122.963064293,771.0746377,100.0
13517,P207,39.260044661,-122.718567635,1826.5977681,100.0
13518,P208,39.109301631,-122.303868888,74.3206014,100.0
13579,P270,39.243769856,-122.055212706,-12.2993724,100.0
13581,P272,39.145481699,-121.943062182,-12.0487986,100.0
13621,P312,39.529178185,-123.698374307,254.9419307,100.0
13622,P313,39.554288052,-123.564544548,651.7661173,100.0
13623,P314,39.685663403,-123.581846985,1251.9589091,100.0
13624,P315,39.863582632,-123.716895883,257.9255732,100.0
13625,P316,41.559132969,-124.086143923,234.972271,15.707220906847144
13626,P317,39.905669995,-123.551849843,1118.6525076,32.96095811923534
13627,P318,39.452369058,-123.371852999,594.9512403,100.0
13628,P319,39.70709679,-123.295078185,513.0229206,100.0
13629,P320,39.492826755,-123.186785335,392.4022947,100.0
13630,P321,39.897220023,-123.394947006,1133.6588522,33.95185820371482
13631,P322,39.962143809,-123.182481131,1433.8416835,36.40412330695176
13632,P323,39.845747696,-122.963441997,2085.5824482,45.19158180762707
13633,P324,40.256837615,-123.655736875,509.3622523,26.02244005428901
13634,P325,41.151669979,-123.882606587,914.4937231,17.85801899678947
13635,P326,40.57531386,-123.698930088,1261.6675451,21.349179039909643
13636,P327,40.478860344,-123.57306415,710.0132311,23.178301113737415
13637,P329,40.082214292,-123.452045767,1034.6240306,30.40551235973568
13638,P330,40.324068862,-123.135581508,1653.0023722,31.172640296755052
13639,P331,40.732914311,-123.324142637,1541.9717422,24.81633159114144
13640,P332,40.54665034,-123.17450383,684.5017279,28.704513187377927
13641,P333,39.621380985,-122.975753515,2008.8291802,57.06452746297245
13642,P334,39.493591957,-122.73587138,1936.2246142,100.0
13643,P335,39.726189832,-122.873637045,2229.5041081,50.70542091354696
13644,P336,39.528079974,-122.430483615,286.7252842,69.03005967912895
13645,P337,40.296188876,-122.868804452,1193.3124044,39.961899925273855
13646,P338,40.747552991,-122.92302833,672.228002,39.86698697709926
13647,P339,40.0341106,-122.668249575,979.5615729,51.0968158975988
13648,P340,39.409339016,-123.049822925,864.7323528,100.0
13649,P341,40.650656231,-122.606899854,406.8370122,55.14553063520474
13650,P343,40.887128079,-123.334210125,1617.4514583,25.206936794268287
13651,P344,39.929123049,-122.027971433,49.780045,76.0580013729188
13652,P345,40.271234438,-122.270805988,134.0938736,65.38522118371083
13653,P346,39.7947098,-120.867463832,2037.3331772,100.0
13654,P347,41.183343252,-120.948461642,1268.8231555,100.0
13655,P348,40.905545797,-121.828002815,1668.0786179,80.12878524695188
13656,P349,40.731085459,-122.319350817,275.4100811,65.50651955200804
13669,P362,42.209103849,-124.225788354,1012.3735317,15.675404970461436
13670,P363,42.860063658,-124.054048353,70.3788769,21.249038828704137
13671,P364,43.090327755,-124.409290146,6.4159812,15.673655947899672
13672,P365,43.395518225,-124.253482513,27.097853,18.90882775970576
13673,P366,43.614310593,-123.9795938,529.0817766,24.46835569301586
13674,P367,44.585246292,-124.061571085,22.9121087,24.42989048745155
13675,P368,42.503524566,-123.383419972,319.4391445,35.19442570756567
13676,P369,43.140104991,-123.429459776,190.0207898,35.20925979058719
13677,P370,42.19098701,-122.656371175,555.0537919,55.99271301026275
13678,P371,43.363273649,-123.057899231,1198.0494044,44.96222381892599
13679,P372,45.428137625,-117.251657343,1208.3048657,100.0
13680,P373,43.622519102,-123.333274438,169.9254494,38.98197228639891
13681,P374,44.381925787,-123.590640137,73.2216593,34.007054359128226
13682,P375,44.689254505,-123.426986834,99.2055814,37.37258882753686
13683,P376,44.941202886,-123.102266112,180.8464707,43.262316466449676
13684,P377,44.052118724,-122.887057938,142.3899612,50.513053677134494
13685,P378,44.53498241,-122.93088144,83.1026163,48.407345108103556
13686,P379,44.496504806,-122.577043871,1221.7758229,56.479587789718614
13687,P380,42.259670422,-121.779697331,1390.8447237,79.42217526416309
13688,P381,43.001776664,-119.951803225,1567.4535634,100.0
13689,P382,43.177056638,-121.769573889,1453.2244534,77.57574274280061
13690,P383,44.342184517,-122.217220302,1295.5985193,63.99248101020656
13691,P384,44.841130536,-122.482818396,1182.5624113,56.81370644438711
13692,P385,44.434848331,-121.945833824,1120.7989355,69.92977672501738
13693,P386,44.402827671,-118.967817056,1103.4928054,100.0
13694,P387,44.296756165,-121.574476898,962.5963158,79.72572472887464
13695,P388,42.468779536,-120.377610302,1405.7653483,100.0
13696,P389,43.811992462,-120.603360983,1397.4404738,100.0
13697,P390,43.034007792,-118.928489455,1554.8457422,100.0
13698,P391,42.254629226,-118.412473389,1834.2324549,100.0
13699,P392,43.446758962,-119.001000547,1315.5191727,100.0
13700,P393,43.234495513,-117.892038258,1238.3048552,100.0
13701,P394,44.834881081,-117.799637759,1010.6918481,100.0
13702,P395,45.022279225,-123.857526944,53.0487497,28.621553239280956
13703,P396,45.309513301,-123.822895403,54.5503524,29.111573293267185
13704,P397,46.421619039,-123.799160826,566.301618,28.095631558602346
13705,P398,46.925784746,-123.916144767,23.4856957,26.94762552071912
13706,P399,47.433919655,-123.61296104,919.4157381,31.71406451359152
13707,P400,47.51334846,-123.812450795,64.9669442,29.74291658257255
13708,P401,47.937187744,-124.55701961,36.2036118,23.947547061404528
13709,P402,47.766221209,-124.30589746,23.7217671,25.711935007475013
13710,P403,48.062321873,-124.140875158,284.6511348,29.409012797164554
13711,P404,45.158533809,-123.39032792,79.0261732,37.4055973279207
13712,P405,45.629326973,-123.643757115,955.6500824,32.04790900575483
13713,P406,45.190372355,-123.152256706,27.2763091,41.597626710365724
13714,P407,45.954649371,-123.931006014,-13.1225236,26.546748745540818
13715,P408,46.200501798,-123.376586522,35.2731655,35.5514301823881
13716,P409,45.851293681,-123.239477487,177.2742821,38.39607256769523
13717,P410,46.111141549,-123.078605559,173.124462,40.19288917148635
13718,P411,45.53799288,-123.157417058,83.3636545,40.48180689739991
13719,P412,45.22110585,-122.589101187,53.2042613,52.601373378815794
13720,P413,48.426511748,-120.149584066,501.2575593,100.0
13721,P414,45.834868574,-122.692837443,63.8251917,48.162731210853124
13722,P415,46.655990796,-123.72986566,-15.4064251,29.070759058344727
13723,P416,47.039942006,-121.596928466,1576.5251309,79.28220682077648
13724,P417,46.574737874,-123.297929752,102.4760065,35.96852140768458
13725,P418,47.236645115,-123.407813448,115.1465696,33.86534969615579
13726,P419,47.409298533,-123.366526467,935.9719003,34.54895372577164
13727,P420,46.58860218,-122.866331539,74.1152415,42.8950107973904
13728,P421,46.531856052,-122.429229083,220.5829506,53.393475572189516
13729,P422,46.797865724,-116.979683569,843.7195852,100.0
13730,P423,47.287903558,-122.94121013,39.9341306,39.72089079809835
13731,P424,47.823183787,-122.874712631,-1.5935504,41.152643340781225
13732,P425,46.452693824,-122.845399059,64.271968,43.60817286166415
13733,P426,47.802724725,-122.514585308,3.3568743,47.110119586966306
13734,P427,45.430178732,-122.340631048,149.1873123,57.05325229929892
13735,P428,45.344560083,-121.672713198,1983.9149287,73.73094716956834
13736,P429,45.676127831,-121.877359968,25.5443567,67.50997516338134
13737,P430,47.003844149,-123.436222262,-4.3827676,33.46462471897031
13738,P431,46.572081572,-121.988452877,1422.7113493,64.93671266337321
13739,P432,46.622855874,-121.683229552,318.8861751,73.50464025811152
13740,P433,44.532522143,-119.872011876,1158.6696232,100.0
13741,P434,47.740202473,-121.075608748,1698.029232,99.65248698252681
13742,P435,48.059549048,-123.503278651,287.3175166,34.831672514432526
13743,P436,48.045302536,-123.134348069,190.8622425,38.972652251434475
13744,P437,48.001809435,-122.459157577,12.467414,49.86983040209319
13745,P438,48.419147954,-122.670262872,-9.898934,51.468121778298205
13746,P439,48.70819255,-122.909303412,-13.8719842,52.49411882707149
13747,P440,48.856193424,-122.493341054,6.329347,65.58253473209963
13748,P441,48.915978697,-122.139642079,115.1960379,78.99801319669822
13749,P442,48.260480084,-121.61554963,146.8834987,75.37663841866836
13750,P443,48.509647657,-121.285556906,1062.1043928,92.61242684727968
13751,P444,48.730219285,-121.067547715,493.8770832,100.0
13752,P445,45.590123116,-120.672246079,436.0626756,100.0
13753,P446,46.115662233,-122.892787813,-16.4567314,43.53839585010791
13754,P447,45.45282128,-119.690124603,471.2405649,100.0
13755,P448,45.910578611,-120.005200212,261.4411289,100.0
13756,P449,46.259792414,-119.630996628,208.4392766,100.0
13757,P450,45.95333511,-119.544194212,163.6624162,100.0
13758,P451,46.792786795,-119.041361102,351.4934496,100.0
13759,P452,47.403548937,-119.487282127,323.0287051,100.0
13760,P453,47.759132981,-118.745456441,644.2254423,100.0
13761,P454,47.953816027,-118.992578243,478.9255757,100.0
13961,P655,41.294485854,-122.206321668,1542.5169105,70.29287042523715
13962,P656,41.344838929,-122.195837621,2398.6135545,70.52166357032557
13963,P657,41.381239204,-122.293848294,1684.4329173,67.67906913454625
13964,P658,41.479176896,-122.190911948,1915.1903776,70.53065626919322
